onset	duration	sample	type	value
313.298533171566	0	78326	Markers	Trial Start: No.23-angle:40-right-right-kongruent-yellow-FA:no
314.842525942766	0	78712	Markers	Stim-40-R-walk-270-yellow-1-kongruent
315.106524706753	0	78778	Markers	BUT-RIGHT-ButtonB-Press
315.106524706753	0	78778	Markers	WiimoteButtonB pressed
315.250524032565	0	78814	Markers	WiimoteButtonB released
316.394518676511	0	79100	Markers	Reaction: 0.262-right-blue-incorrect
316.394518676511	0	79100	Markers	End-Trial-3.096
316.430518507964	0	79109	Markers	Trial Start: No.24-angle:40-left-left-kongruent-yellow-FA:no
318.022511054434	0	79507	Markers	Stim-NOTshown
318.542508619864	0	79637	Markers	Stim-NOTshown
319.062506185294	0	79767	Markers	Stim-NOTshown
319.582503750724	0	79897	Markers	Stim-NOTshown
320.106501297426	0	80028	Markers	Stim-NOTshown
320.626498862856	0	80158	Markers	Stim-NOTshown
321.146496428286	0	80288	Markers	Stim-NOTshown
321.670493974989	0	80419	Markers	Stim-NOTshown
322.190491540419	0	80549	Markers	Stim-NOTshown
322.710489105849	0	80679	Markers	Stim-NOTshown
323.230486671279	0	80809	Markers	Stim-40-L-walk-263-yellow--1-kongruent
323.530485266719	0	80884	Markers	BUT-LEFT-ButtonB-Press
323.530485266719	0	80884	Markers	WiimoteButtonB pressed
323.702484461438	0	80927	Markers	WiimoteButtonB released
323.750484236709	0	80939	Markers	WiimoteButtonB pressed
323.754484217981	0	80940	Markers	BUT-LEFT-ButtonB-Press
323.89448356252	0	80975	Markers	WiimoteButtonB released
324.782479405024	0	81197	Markers	Reaction: 0.3-left-yellow-correct
324.782479405024	0	81197	Markers	End-Trial-8.353
324.818479236477	0	81206	Markers	Trial Start: No.25-angle:40-left-left-kongruent-blue-FA:no
326.198472775502	0	81551	Markers	Stim-40-L-walk-194-blue--1-kongruent
326.490471408398	0	81624	Markers	WiimoteButtonB pressed
326.490471408398	0	81624	Markers	BUT-LEFT-ButtonB-Press
326.666470584389	0	81668	Markers	WiimoteButtonB released
327.750465509247	0	81939	Markers	Reaction: 0.291-left-blue-correct
327.75446549052	0	81940	Markers	End-Trial-2.936
327.7864653407	0	81948	Markers	Trial Start: No.26-angle:40-right-right-kongruent-yellow-FA:no
329.350458018262	0	82339	Markers	Stim-40-R-walk-109-yellow--1-kongruent
329.642456651158	0	82412	Markers	WiimoteButtonB pressed
329.64645663243	0	82413	Markers	BUT-RIGHT-ButtonB-Press
329.746456164244	0	82438	Markers	WiimoteButtonB released
329.88245552751	0	82472	Markers	WiimoteButtonB pressed
329.88245552751	0	82472	Markers	BUT-RIGHT-ButtonB-Press
329.954455190416	0	82490	Markers	WiimoteButtonB released
330.902450752007	0	82727	Markers	Reaction: 0.294-right-yellow-correct
330.902450752007	0	82727	Markers	End-Trial-3.116
330.93845058346	0	82736	Markers	Trial Start: No.27-angle:40-right-right-kongruent-yellow-FA:no
332.298444216123	0	83076	Markers	Stim-40-R-walk-027-yellow--1-kongruent
332.566442961383	0	83143	Markers	BUT-RIGHT-ButtonB-Press
332.566442961383	0	83143	Markers	WiimoteButtonB pressed
332.678442437014	0	83171	Markers	WiimoteButtonB released
332.802441856463	0	83202	Markers	BUT-RIGHT-ButtonB-Press
332.802441856463	0	83202	Markers	WiimoteButtonB pressed
332.898441407004	0	83226	Markers	WiimoteButtonB released
333.850436949868	0	83464	Markers	Reaction: 0.266-right-yellow-correct
333.854436931141	0	83465	Markers	End-Trial-2.916
333.886436781321	0	83473	Markers	Trial Start: No.28-angle:60-right-right-kongruent-blue-FA:no
335.482429309064	0	83872	Markers	Stim-NOTshown
336.002426874494	0	84002	Markers	Stim-NOTshown
336.522424439924	0	84132	Markers	Stim-NOTshown
337.042422005354	0	84262	Markers	Stim-NOTshown
337.562419570784	0	84392	Markers	Stim-NOTshown
338.082417136214	0	84522	Markers	Stim-NOTshown
338.602414701644	0	84652	Markers	Stim-NOTshown
339.122412267074	0	84782	Markers	Stim-NOTshown
339.642409832504	0	84912	Markers	Stim-60-R-walk-021-blue-1-kongruent
339.990408203214	0	84999	Markers	BUT-RIGHT-ButtonB-Press
339.990408203214	0	84999	Markers	WiimoteButtonB pressed
340.142407491571	0	85037	Markers	WiimoteButtonB released
341.194402566249	0	85300	Markers	Reaction: 0.347-right-blue-correct
341.194402566249	0	85300	Markers	End-Trial-7.309
341.230402397701	0	85309	Markers	Trial Start: No.29-angle:60-right-right-kongruent-yellow-FA:no
342.706395487268	0	85678	Markers	Stim-60-R-walk-100-yellow-1-kongruent
343.070393783069	0	85769	Markers	WiimoteButtonB pressed
343.070393783069	0	85769	Markers	BUT-RIGHT-ButtonB-Press
343.170393314883	0	85794	Markers	WiimoteButtonB released
343.554391517046	0	85890	Markers	WiimoteButtonB pressed
343.554391517046	0	85890	Markers	BUT-RIGHT-ButtonB-Press
343.694390861585	0	85925	Markers	WiimoteButtonB released
344.258388221013	0	86066	Markers	Reaction: 0.362-right-yellow-correct
344.258388221013	0	86066	Markers	End-Trial-3.03
344.294388052466	0	86075	Markers	Trial Start: No.30-angle:40-right-right-kongruent-blue-FA:no
345.658381666401	0	86416	Markers	Stim-40-R-walk-197-blue-1-kongruent
346.030379924747	0	86509	Markers	WiimoteButtonB pressed
346.030379924747	0	86509	Markers	BUT-RIGHT-ButtonB-Press
346.194379156922	0	86550	Markers	WiimoteButtonB released
347.206374418874	0	86803	Markers	Reaction: 0.375-right-blue-correct
347.210374400146	0	86804	Markers	End-Trial-2.916
347.242374250327	0	86812	Markers	Trial Start: No.31-angle:40-right-right-kongruent-yellow-FA:no
348.706367396076	0	87178	Markers	Stim-40-R-walk-277-yellow-1-kongruent
349.026365897879	0	87258	Markers	WiimoteButtonB pressed
349.026365897879	0	87258	Markers	BUT-RIGHT-ButtonB-Press
349.110365504602	0	87279	Markers	WiimoteButtonB released
349.254364830413	0	87315	Markers	WiimoteButtonB pressed
349.254364830413	0	87315	Markers	BUT-RIGHT-ButtonB-Press
349.338364437137	0	87336	Markers	WiimoteButtonB released
350.25836012982	0	87566	Markers	Reaction: 0.322-right-yellow-correct
350.25836012982	0	87566	Markers	End-Trial-3.015
350.290359980001	0	87574	Markers	Trial Start: No.32-angle:60-left-left-kongruent-blue-FA:no
351.718353294297	0	87931	Markers	Stim-NOTshown
352.238350859727	0	88061	Markers	Stim-NOTshown
352.758348425157	0	88191	Markers	Stim-NOTshown
353.278345990587	0	88321	Markers	Stim-NOTshown
353.802343537289	0	88452	Markers	Stim-NOTshown
354.322341102719	0	88582	Markers	Stim-NOTshown
354.842338668149	0	88712	Markers	Stim-NOTshown
355.362336233579	0	88842	Markers	Stim-NOTshown
355.882333799009	0	88972	Markers	Stim-60-L-walk-285-blue--1-kongruent
356.190332356995	0	89049	Markers	WiimoteButtonB pressed
356.190332356995	0	89049	Markers	BUT-LEFT-ButtonB-Press
356.346331626624	0	89088	Markers	WiimoteButtonB released
357.434326532754	0	89360	Markers	Reaction: 0.307-left-blue-correct
357.434326532754	0	89360	Markers	End-Trial-7.143
357.470326364207	0	89369	Markers	Trial Start: No.33-angle:60-right-right-kongruent-blue-FA:no
358.83031999687	0	89709	Markers	Stim-60-R-walk-210-blue--1-kongruent
359.106318704675	0	89778	Markers	WiimoteButtonB pressed
359.106318704675	0	89778	Markers	BUT-RIGHT-ButtonB-Press
359.218318180306	0	89806	Markers	WiimoteButtonB released
360.382312730615	0	90097	Markers	Reaction: 0.275-right-blue-correct
360.382312730615	0	90097	Markers	End-Trial-2.915
360.418312562068	0	90106	Markers	Trial Start: No.34-angle:60-left-left-kongruent-yellow-FA:no
361.882305707817	0	90472	Markers	Stim-60-L-walk-139-yellow--1-kongruent
362.18630428453	0	90548	Markers	WiimoteButtonB pressed
362.18630428453	0	90548	Markers	BUT-LEFT-ButtonB-Press
362.334303591614	0	90585	Markers	WiimoteButtonB released
362.430303142155	0	90609	Markers	WiimoteButtonB pressed
362.434303123427	0	90610	Markers	BUT-LEFT-ButtonB-Press
362.578302449239	0	90646	Markers	WiimoteButtonB released
363.430298460289	0	90859	Markers	Reaction: 0.306-left-yellow-correct
363.434298441562	0	90860	Markers	End-Trial-3.015
363.466298291742	0	90868	Markers	Trial Start: No.35-angle:40-left-left-kongruent-yellow-FA:no
364.826291924405	0	91208	Markers	Stim-40-L-walk-051-yellow--1-kongruent
365.150290407481	0	91289	Markers	WiimoteButtonB pressed
365.150290407481	0	91289	Markers	BUT-LEFT-ButtonB-Press
365.482288853101	0	91372	Markers	WiimoteButtonB released
365.60628827255	0	91403	Markers	BUT-LEFT-ButtonB-Press
365.60628827255	0	91403	Markers	WiimoteButtonB pressed
365.778287467269	0	91446	Markers	WiimoteButtonB released
366.37828465815	0	91596	Markers	Reaction: 0.322-left-yellow-correct
366.37828465815	0	91596	Markers	End-Trial-2.913
366.414284489603	0	91605	Markers	Trial Start: No.36-angle:40-right-right-kongruent-blue-FA:no
367.890277579169	0	91974	Markers	Stim-NOTshown
368.410275144599	0	92104	Markers	Stim-NOTshown
368.930272710029	0	92234	Markers	Stim-NOTshown
369.450270275459	0	92364	Markers	Stim-NOTshown
369.970267840889	0	92494	Markers	Stim-NOTshown
370.490265406319	0	92624	Markers	Stim-NOTshown
371.010262971749	0	92754	Markers	Stim-NOTshown
371.530260537179	0	92884	Markers	Stim-NOTshown
372.050258102609	0	93014	Markers	Stim-NOTshown
372.570255668039	0	93144	Markers	Stim-NOTshown
373.090253233469	0	93274	Markers	Stim-NOTshown
373.610250798899	0	93404	Markers	Stim-40-R-walk-048-blue-1-kongruent
373.99024901979	0	93499	Markers	WiimoteButtonB pressed
373.99024901979	0	93499	Markers	BUT-RIGHT-ButtonB-Press
374.114248439239	0	93530	Markers	WiimoteButtonB released
375.162243532644	0	93792	Markers	Reaction: 0.38-right-blue-correct
375.162243532644	0	93792	Markers	End-Trial-8.75
375.198243364097	0	93801	Markers	Trial Start: No.37-angle:60-left-left-kongruent-yellow-FA:no
376.57423692185	0	94145	Markers	Stim-60-L-walk-091-yellow-1-kongruent
376.870235536018	0	94219	Markers	WiimoteButtonB pressed
376.870235536018	0	94219	Markers	BUT-LEFT-ButtonB-Press
377.034234768192	0	94260	Markers	WiimoteButtonB released
377.114234393643	0	94280	Markers	BUT-LEFT-ButtonB-Press
377.114234393643	0	94280	Markers	WiimoteButtonB pressed
377.28223360709	0	94322	Markers	WiimoteButtonB released
378.126229655595	0	94533	Markers	Reaction: 0.296-left-yellow-correct
378.126229655595	0	94533	Markers	End-Trial-2.93
378.162229487048	0	94542	Markers	Trial Start: No.38-angle:60-right-right-kongruent-yellow-FA:no
379.538223044801	0	94886	Markers	Stim-60-R-walk-173-yellow-1-kongruent
379.846221602787	0	94963	Markers	WiimoteButtonB pressed
379.850221584059	0	94964	Markers	BUT-RIGHT-ButtonB-Press
379.970221022235	0	94994	Markers	WiimoteButtonB released
380.094220441684	0	95025	Markers	BUT-RIGHT-ButtonB-Press
380.094220441684	0	95025	Markers	WiimoteButtonB pressed
380.206219917315	0	95053	Markers	WiimoteButtonB released
381.090215778546	0	95274	Markers	Reaction: 0.31-right-yellow-correct
381.090215778546	0	95274	Markers	End-Trial-2.93
381.126215609999	0	95283	Markers	Trial Start: No.39-angle:40-left-left-kongruent-yellow-FA:no
